Year-Month,Total Posts,Positive Posts,Negative Posts,Neutral Posts,Total Comments,Positive Comments,Negative Comments,Neutral Comments,Percent Positive,Percent Negative,Percent Neutral
2019-07,11,1,3,7,396,145,126,125,0.366161616,0.318181818,0.315656566
2019-09,10,2,1,7,260,69,71,120,0.265384615,0.273076923,0.461538462
2019-10,7,7,0,0,209,119,25,65,0.56937799,0.119617225,0.311004785
2019-11,6,3,3,0,75,42,15,18,0.56,0.2,0.24
2019-12,8,0,4,4,112,52,28,32,0.464285714,0.25,0.285714286
2020-01,6,5,0,1,79,27,18,34,0.341772152,0.227848101,0.430379747
2020-02,5,4,0,1,43,29,5,9,0.674418605,0.11627907,0.209302326
2020-03,4,3,1,0,44,25,2,17,0.568181818,0.045454545,0.386363636
2020-04,1,1,0,0,4,1,0,3,0.25,0,0.75
2020-05,3,0,0,3,81,24,42,15,0.296296296,0.518518519,0.185185185
2020-06,7,3,3,1,44,29,1,14,0.659090909,0.022727273,0.318181818
2020-07,5,3,2,0,206,90,72,44,0.436893204,0.349514563,0.213592233
2020-08,9,8,0,1,112,38,34,40,0.339285714,0.303571429,0.357142857
2020-09,1,1,0,0,70,40,16,14,0.571428571,0.228571429,0.2
2020-10,3,3,0,0,18,3,12,3,0.166666667,0.666666667,0.166666667
2020-11,1,1,0,0,50,21,5,24,0.42,0.1,0.48
2020-12,1,1,0,0,34,22,6,6,0.647058824,0.176470588,0.176470588
2021-02,3,3,0,0,29,23,1,5,0.793103448,0.034482759,0.172413793
2021-03,4,0,3,1,120,52,34,34,0.433333333,0.283333333,0.283333333
2021-04,1,1,0,0,1,1,0,0,1,0,0
2021-05,4,0,0,4,29,19,5,5,0.655172414,0.172413793,0.172413793
2021-06,4,0,4,0,132,56,36,40,0.424242424,0.272727273,0.303030303
2021-07,2,0,2,0,39,20,6,13,0.512820513,0.153846154,0.333333333
2021-08,4,1,1,2,356,147,70,139,0.412921348,0.196629213,0.390449438
2021-09,9,8,0,1,121,78,11,32,0.644628099,0.090909091,0.26446281
2021-12,3,0,0,3,69,24,30,15,0.347826087,0.434782609,0.217391304
2022-01,4,0,4,0,43,20,5,18,0.465116279,0.11627907,0.418604651
2022-02,2,1,1,0,30,14,7,9,0.466666667,0.233333333,0.3
2022-03,8,4,3,1,188,74,48,66,0.393617021,0.255319149,0.35106383
2022-04,1,1,0,0,321,150,72,99,0.46728972,0.224299065,0.308411215
2022-05,5,4,1,0,34,22,1,11,0.647058824,0.029411765,0.323529412
2022-06,4,4,0,0,395,233,95,67,0.589873418,0.240506329,0.169620253
2022-07,7,4,3,0,225,100,44,81,0.444444444,0.195555556,0.36
2022-08,4,3,1,0,42,21,7,14,0.5,0.166666667,0.333333333
2022-09,3,3,0,0,73,44,10,19,0.602739726,0.136986301,0.260273973
2022-10,10,7,1,2,639,319,154,166,0.499217527,0.241001565,0.259780908
2022-11,6,4,2,0,22,14,2,6,0.636363636,0.090909091,0.272727273
2022-12,32,18,9,5,1377,598,356,423,0.434277415,0.258533043,0.307189542
2023-01,26,20,2,4,959,442,202,315,0.460896767,0.210636079,0.328467153
2023-02,4,2,0,2,57,29,9,19,0.50877193,0.157894737,0.333333333
2023-03,2,0,2,0,4,2,2,0,0.5,0.5,0
2023-04,11,8,0,3,264,127,64,73,0.481060606,0.242424242,0.276515152
2023-05,11,4,2,5,595,267,106,222,0.448739496,0.178151261,0.373109244
2023-06,14,8,5,1,455,184,83,188,0.404395604,0.182417582,0.413186813
2023-07,7,3,1,3,42,19,6,17,0.452380952,0.142857143,0.404761905
2023-09,12,4,3,5,841,392,162,287,0.466111772,0.192627824,0.341260404
2023-10,12,8,2,2,1791,888,319,584,0.495812395,0.178112786,0.326074819
2023-11,39,30,2,7,6315,3181,1303,1831,0.503721298,0.206334125,0.289944576
2023-12,51,26,2,23,5126,2164,1173,1789,0.422161529,0.228833398,0.349005072
2024-01,48,28,6,14,7572,3752,1795,2025,0.495509773,0.237057581,0.267432647
2024-02,41,23,7,11,6762,3106,1566,2090,0.459331559,0.231588287,0.309080154
2024-03,32,23,1,8,2596,1300,569,727,0.500770416,0.219183359,0.280046225
2024-04,30,17,1,12,2574,1188,547,839,0.461538462,0.212509713,0.325951826
2024-05,34,30,0,4,1532,691,332,509,0.451044386,0.216710183,0.332245431
2024-06,20,15,3,2,445,248,71,126,0.557303371,0.159550562,0.283146067
2024-07,24,20,3,1,538,285,64,189,0.529739777,0.118959108,0.351301115
2024-08,33,20,5,8,1118,449,236,433,0.401610018,0.211091234,0.387298748
2024-09,21,13,0,8,1219,516,310,393,0.423297785,0.254306809,0.322395406
2024-10,39,27,9,3,1916,1059,363,494,0.552713987,0.189457203,0.25782881
2024-11,23,13,7,3,4396,2050,1149,1197,0.46633303,0.261373976,0.272292994
